experiment,choice,count,share
badham2017deficits/exp1.csv,0,17025,0.5091208133971292
badham2017deficits/exp1.csv,1,16415,0.49087918660287083
bahrami2020four/exp.csv,1.0,56987,0.4075856840418836
bahrami2020four/exp.csv,2.0,47590,0.34037592264118555
bahrami2020four/exp.csv,0.0,21946,0.1569634376609258
bahrami2020four/exp.csv,3.0,13293,0.09507495565600503
collsiöö2023MCPL/exp1.csv,4,6426,0.286875
collsiöö2023MCPL/exp1.csv,3,3208,0.1432142857142857
collsiöö2023MCPL/exp1.csv,5,3194,0.14258928571428572
collsiöö2023MCPL/exp1.csv,6,3047,0.13602678571428573
collsiöö2023MCPL/exp1.csv,2,3013,0.13450892857142857
collsiöö2023MCPL/exp1.csv,1,1228,0.05482142857142857
collsiöö2023MCPL/exp1.csv,7,1189,0.053080357142857144
collsiöö2023MCPL/exp1.csv,8,583,0.026026785714285714
collsiöö2023MCPL/exp1.csv,0,512,0.022857142857142857
collsiöö2023MCPL/exp2.csv,4,6461,0.2884375
collsiöö2023MCPL/exp2.csv,6,3283,0.1465625
collsiöö2023MCPL/exp2.csv,5,3225,0.14397321428571427
collsiöö2023MCPL/exp2.csv,3,3124,0.1394642857142857
collsiöö2023MCPL/exp2.csv,2,3001,0.1339732142857143
collsiöö2023MCPL/exp2.csv,1,1170,0.05223214285714286
collsiöö2023MCPL/exp2.csv,7,1103,0.049241071428571426
collsiöö2023MCPL/exp2.csv,8,551,0.024598214285714286
collsiöö2023MCPL/exp2.csv,0,482,0.021517857142857144
collsiöö2023MCPL/exp3.csv,4,4261,0.30876811594202896
collsiöö2023MCPL/exp3.csv,6,2221,0.16094202898550725
collsiöö2023MCPL/exp3.csv,5,2123,0.15384057971014492
collsiöö2023MCPL/exp3.csv,3,1770,0.1282608695652174
collsiöö2023MCPL/exp3.csv,2,1524,0.11043478260869566
collsiöö2023MCPL/exp3.csv,7,855,0.06195652173913044
collsiöö2023MCPL/exp3.csv,1,449,0.03253623188405797
collsiöö2023MCPL/exp3.csv,8,393,0.028478260869565217
collsiöö2023MCPL/exp3.csv,0,204,0.014782608695652174
enkavi2019adaptivenback/exp1.csv,1,153574,0.6671445203218127
enkavi2019adaptivenback/exp1.csv,0,69670,0.30265512867295696
enkavi2019adaptivenback/exp1.csv,nothing,6952,0.030200351005230327
enkavi2019digitspan/exp1.csv,EOS,15636,0.14566797093348238
enkavi2019digitspan/exp1.csv,9,12620,0.11757033724613378
enkavi2019digitspan/exp1.csv,1,11463,0.1067915036333147
enkavi2019digitspan/exp1.csv,8,11343,0.10567356064840693
enkavi2019digitspan/exp1.csv,2,9651,0.08991056456120738
enkavi2019digitspan/exp1.csv,3,9492,0.08842929010620458
enkavi2019digitspan/exp1.csv,4,9425,0.08780510527296441
enkavi2019digitspan/exp1.csv,5,9356,0.08716228805664245
enkavi2019digitspan/exp1.csv,7,9235,0.08603502888019378
enkavi2019digitspan/exp1.csv,6,9119,0.0849543506614496
enkavi2019gonogo/exp1.csv,buttonpress,169747,0.9032939548744147
enkavi2019gonogo/exp1.csv,nobuttonpress,18173,0.09670604512558535
enkavi2019recentprobes/exp1.csv,0,20517,0.5171657592256503
enkavi2019recentprobes/exp1.csv,1,17971,0.4529895140149224
enkavi2019recentprobes/exp1.csv,-1,1184,0.029844726759427304
feng2021dynamics/exp1.csv,1,34804,0.5000574712643678
feng2021dynamics/exp1.csv,0,34796,0.49994252873563216
flesch2018comparing/exp1.csv,1,105951,0.5163304093567251
flesch2018comparing/exp1.csv,0,99249,0.48366959064327486
frey2017cct/exp1.csv,0,624117,0.9234836031007844
frey2017cct/exp1.csv,1,51712,0.07651639689921563
frey2017risk/exp1.csv,1,1659712,0.9822536334895348
frey2017risk/exp1.csv,0,29986,0.017746366510465184
gershman2018deconstructing/exp1.csv,0,6135,0.6816666666666666
gershman2018deconstructing/exp1.csv,1,2865,0.31833333333333336
gershman2018deconstructing/exp2.csv,0,4421,0.5023863636363637
gershman2018deconstructing/exp2.csv,1,4379,0.49761363636363637
gershman2020reward/exp1.csv,0.0,15992,0.3439509624690827
gershman2020reward/exp1.csv,1.0,15579,0.33506828691257123
gershman2020reward/exp1.csv,2.0,14924,0.3209807506183461
hebart2023things/exp1.csv,baton,8485,0.0018056418593961473
hebart2023things/exp1.csv,shell,7506,0.0015973067526962265
hebart2023things/exp1.csv,bow,7228,0.001538147243337107
hebart2023things/exp1.csv,calf,6683,0.0014221690685143728
hebart2023things/exp1.csv,mouse,6131,0.0013047012657581355
hebart2023things/exp1.csv,bat,6053,0.001288102554499102
hebart2023things/exp1.csv,chicken,5852,0.0012453289524085155
hebart2023things/exp1.csv,pepper,5600,0.0011917023468024073
hebart2023things/exp1.csv,crystal,5352,0.0011389269571583007
hebart2023things/exp1.csv,chest,5217,0.0011101984184407425
hebart2023things/exp1.csv,tank,5183,0.001102963082763728
hebart2023things/exp1.csv,rack,5087,0.0010825338996756867
