experiment,llama,centaur8b,minitaur,uniform,bigram,ft_gain,bigram_gain
badham2017deficits/exp1.csv,0.6042,0.5422,0.5982,0.6931,0.6999,0.062,-0.0068
bahrami2020four/exp.csv,0.9115,0.7142,0.8976,1.3863,0.978,0.1973,0.4083
collsiöö2023MCPL/exp1.csv,1.2453,1.0483,1.2192,2.1854,2.0575,0.197,0.128
collsiöö2023MCPL/exp2.csv,1.2007,0.9982,1.1769,2.1553,2.007,0.2026,0.1484
collsiöö2023MCPL/exp3.csv,1.6043,1.4737,1.593,2.0698,1.8594,0.1305,0.2105
cox2017information/exp1.csv,1.378,1.1302,1.3613,3.6911,1.9341,0.2477,1.7571
enkavi2019adaptivenback/exp1.csv,0.5649,0.4239,0.5539,0.6931,0.6166,0.141,0.0766
enkavi2019digitspan/exp1.csv,0.7628,0.5842,0.749,2.3026,2.2364,0.1785,0.0662
enkavi2019gonogo/exp1.csv,0.0036,0.0,0.0029,0.0,0.0,0.0036,0.0
enkavi2019recentprobes/exp1.csv,0.3832,0.2614,0.3524,0.6931,0.7338,0.1218,-0.0406
feng2021dynamics/exp1.csv,0.3648,0.2217,0.3575,0.6931,0.5613,0.143,0.1319
flesch2018comparing/exp1.csv,0.4777,0.3862,0.4642,0.6931,0.6745,0.0916,0.0187
frey2017cct/exp1.csv,0.2544,0.2046,0.2512,0.6931,0.2933,0.0497,0.3999
frey2017risk/exp1.csv,0.0822,0.0701,0.0812,0.6931,0.1018,0.0122,0.5913
garcia2023experiential/exp1.csv,0.7613,0.5614,0.7482,2.6454,2.404,0.1998,0.2414
garcia2023experiential/exp2.csv,0.6568,0.4639,0.6482,2.6578,1.5993,0.193,1.0585
garcia2023experiential/exp3.csv,0.6438,0.4272,0.6325,2.6764,1.5877,0.2166,1.0887
garcia2023experiential/exp4.csv,0.5743,0.3791,0.5642,2.1268,1.0387,0.1952,1.0881
gershman2018deconstructing/exp1.csv,0.4225,0.3522,0.4207,0.6931,0.4414,0.0703,0.2517
gershman2018deconstructing/exp2.csv,0.3752,0.2498,0.3696,0.6931,0.5666,0.1254,0.1265
gershman2020reward/exp1.csv,0.7028,0.5356,0.6909,1.0986,1.1119,0.1672,-0.0133
hebart2023things/exp1.csv,1.162,0.8106,1.1476,1.0905,1.1751,0.3514,-0.0846
hilbig2014generalized/exp1.csv,0.2546,0.0911,0.2422,0.6931,0.735,0.1635,-0.0418
jansen2021dunningkruger/exp1.csv,2.1467,1.4516,2.0685,2.4616,2.4044,0.6952,0.0573
kool2016when/exp1.csv,0.6519,0.4788,0.6416,1.3863,1.3602,0.1731,0.0261
kool2016when/exp2.csv,0.587,0.5102,0.5802,1.7918,1.1377,0.0768,0.6541
kool2017cost/exp1.csv,0.6791,0.5879,0.6756,1.3863,1.42,0.0913,-0.0337
kool2017cost/exp2.csv,0.5793,0.4912,0.5732,1.7918,1.0446,0.088,0.7472
krueger2022identifying/exp1.csv,0.9395,0.5593,0.91,2.3882,1.9488,0.3802,0.4394
kumar2023disentangling/exp1.csv,2.8191,1.6945,2.8001,3.8685,3.6952,1.1245,0.1734
lefebvre2017behavioural/exp1.csv,0.6024,0.5003,0.5938,2.0315,2.0164,0.1021,0.0151
lefebvre2017behavioural/exp2.csv,0.4919,0.4669,0.4875,2.0127,1.9388,0.0249,0.0738
levering2020revisiting/exp1.csv,0.6001,0.5351,0.5927,1.8659,1.0627,0.065,0.8032
levering2020revisiting/exp2.csv,0.559,0.4785,0.5495,1.8139,1.0417,0.0805,0.7722
ludwig2023human/exp0.csv,0.6425,0.5532,0.6358,0.6931,0.6957,0.0893,-0.0026
ludwig2023human/exp1.csv,0.5895,0.4788,0.5866,0.6931,0.7024,0.1107,-0.0092
ludwig2023human/exp2.csv,0.5593,0.4982,0.5575,0.6931,0.6691,0.0611,0.0241
peterson2021using/exp1.csv,0.5504,0.4364,0.5347,0.6931,0.5816,0.114,0.1115
plonsky2018when/exp1.csv,0.3876,0.3457,0.3852,0.6931,0.4499,0.0419,0.2432
popov2023intent/exp1.csv,1.6355,1.0689,1.6151,3.713,2.3752,0.5666,1.3378
popov2023intent/exp2.csv,1.2547,0.8678,1.2285,3.5065,2.2311,0.3869,1.2754
popov2023intent/exp3.csv,1.4662,1.0037,1.4375,3.6572,2.4707,0.4625,1.1865
ruggeri2022globalizability/exp1.csv,0.7617,0.4421,0.7123,0.6654,0.682,0.3196,-0.0165
sadeghiyeh2020temporal/exp1.csv,0.6616,0.5922,0.6571,0.6931,0.6862,0.0694,0.0069
schulz2020finding/exp1.csv,0.7471,0.5167,0.7345,2.0794,1.0756,0.2304,1.0038
schulz2020finding/exp2.csv,0.6955,0.4998,0.6833,2.0794,1.1444,0.1958,0.9351
schulz2020finding/exp3.csv,0.8735,0.6989,0.8626,2.0724,1.2446,0.1746,0.8278
schulz2020finding/exp4.csv,0.9254,0.7131,0.9127,2.0794,1.378,0.2122,0.7015
schulz2020finding/exp5.csv,0.928,0.7219,0.9159,2.0794,1.3373,0.2061,0.7422
somerville2017charting/exp1.csv,0.495,0.3461,0.4854,0.6931,0.6137,0.1489,0.0795
speekenbrink2008learning/exp1.csv,0.5833,0.5528,0.5792,0.6931,0.6948,0.0306,-0.0016
steingroever2015data/exp1.csv,1.066,0.9288,1.0519,1.3863,1.1113,0.1373,0.275
steingroever2015data/exp2.csv,1.2713,1.2424,1.2612,1.3863,1.2848,0.0289,0.1015
steingroever2015data/exp3.csv,0.8412,0.7409,0.8307,1.3863,0.9035,0.1002,0.4828
tomov2020discovery/exp2.csv,1.4744,1.1252,1.4598,1.6662,1.3275,0.3492,0.3387
tomov2020discovery/exp4.csv,1.4365,0.9148,1.4218,1.6459,1.2347,0.5217,0.4112
tomov2020discovery/exp5.csv,1.5912,1.1381,1.5761,1.7091,1.3841,0.453,0.325
tomov2020discovery/exp7.csv,1.6151,1.3505,1.6036,1.7224,1.487,0.2646,0.2354
tomov2021multitask/exp1.csv,0.745,0.6593,0.7337,1.0986,0.9347,0.0857,0.1639
tomov2021multitask/exp3.csv,0.5725,0.4662,0.5643,1.0986,0.8443,0.1063,0.2543
waltz2020differential/exp1.csv,0.311,0.1501,0.3011,0.6931,0.4408,0.161,0.2523
wilson2014humans/exp1.csv,0.4711,0.3056,0.4635,0.6931,0.5947,0.1655,0.0985
wilson2014humans/exp3.csv,0.4803,0.3913,0.4749,0.6931,0.6055,0.089,0.0876
wilson2014humans/exp4.csv,0.5635,0.4848,0.5582,0.6931,0.6394,0.0787,0.0538
wilson2014humans/exp5.csv,0.6424,0.5987,0.6406,0.6931,0.6648,0.0437,0.0283
wise2019acomputational/exp1.csv,5.2424,4.8474,5.2238,4.7976,4.5098,0.395,0.2878
wu2018generalisation/exp1.csv,2.6119,1.9147,2.5859,3.3548,3.2594,0.6973,0.0954
wu2023chunking/exp1.csv,0.1385,0.1212,0.1373,1.3863,1.036,0.0173,0.3503
wu2023chunking/exp2.csv,0.2579,0.2317,0.257,1.3863,0.8766,0.0262,0.5097
wulff2018description/exp1.csv,0.9467,0.6075,0.838,0.5822,0.6463,0.3392,-0.064
wulff2018sampling/exp1.csv,0.6665,0.4731,0.6231,0.9793,0.688,0.1934,0.2913
xiong2023neural/exp1.csv,0.3382,0.2984,0.3363,0.6931,0.4779,0.0398,0.2153
zhu2020bayesian/exp1.csv,2.1385,1.8854,2.1203,2.5722,2.3823,0.2531,0.1899
zhu2020bayesian/exp2.csv,2.8763,2.5901,2.8568,3.3168,3.2299,0.2862,0.0869
zorowitz2023data/exp1.csv,0.583,0.5118,0.5774,1.7918,1.0645,0.0712,0.7273
