experiment,sequence_countable,needs_history
badham2017deficits/exp1.csv,False,True
bahrami2020four/exp.csv,True,True
collsiöö2023MCPL/exp1.csv,True,True
collsiöö2023MCPL/exp2.csv,True,True
collsiöö2023MCPL/exp3.csv,True,True
cox2017information/exp1.csv,True,True
enkavi2019adaptivenback/exp1.csv,True,True
enkavi2019digitspan/exp1.csv,True,True
enkavi2019gonogo/exp1.csv,False,False
enkavi2019recentprobes/exp1.csv,False,True
feng2021dynamics/exp1.csv,True,True
flesch2018comparing/exp1.csv,False,True
frey2017cct/exp1.csv,True,True
frey2017risk/exp1.csv,True,False
garcia2023experiential/exp1.csv,True,True
garcia2023experiential/exp2.csv,True,True
garcia2023experiential/exp3.csv,True,True
garcia2023experiential/exp4.csv,True,True
gershman2018deconstructing/exp1.csv,True,True
gershman2018deconstructing/exp2.csv,True,True
gershman2020reward/exp1.csv,False,True
hebart2023things/exp1.csv,False,False
hilbig2014generalized/exp1.csv,False,True
jansen2021dunningkruger/exp1.csv,True,True
kool2016when/exp1.csv,False,True
kool2016when/exp2.csv,True,True
kool2017cost/exp1.csv,False,False
kool2017cost/exp2.csv,True,True
krueger2022identifying/exp1.csv,True,True
kumar2023disentangling/exp1.csv,True,False
lefebvre2017behavioural/exp1.csv,False,True
lefebvre2017behavioural/exp2.csv,True,True
levering2020revisiting/exp1.csv,True,True
levering2020revisiting/exp2.csv,True,True
ludwig2023human/exp0.csv,False,False
ludwig2023human/exp1.csv,False,True
ludwig2023human/exp2.csv,False,True
peterson2021using/exp1.csv,True,True
plonsky2018when/exp1.csv,True,True
popov2023intent/exp1.csv,True,True
popov2023intent/exp2.csv,True,True
popov2023intent/exp3.csv,True,True
ruggeri2022globalizability/exp1.csv,False,False
sadeghiyeh2020temporal/exp1.csv,False,True
schulz2020finding/exp1.csv,True,True
schulz2020finding/exp2.csv,True,True
schulz2020finding/exp3.csv,True,True
schulz2020finding/exp4.csv,True,True
schulz2020finding/exp5.csv,True,True
somerville2017charting/exp1.csv,True,True
speekenbrink2008learning/exp1.csv,False,True
steingroever2015data/exp1.csv,True,True
steingroever2015data/exp2.csv,True,True
steingroever2015data/exp3.csv,True,True
tomov2020discovery/exp2.csv,True,True
tomov2020discovery/exp4.csv,True,True
tomov2020discovery/exp5.csv,True,True
tomov2020discovery/exp7.csv,True,True
tomov2021multitask/exp1.csv,True,True
tomov2021multitask/exp3.csv,True,True
waltz2020differential/exp1.csv,True,True
wilson2014humans/exp1.csv,True,True
wilson2014humans/exp3.csv,True,True
wilson2014humans/exp4.csv,True,True
wilson2014humans/exp5.csv,False,False
wise2019acomputational/exp1.csv,True,True
wu2018generalisation/exp1.csv,True,True
wu2023chunking/exp1.csv,True,True
wu2023chunking/exp2.csv,True,True
wulff2018description/exp1.csv,False,False
wulff2018sampling/exp1.csv,True,True
xiong2023neural/exp1.csv,True,True
zhu2020bayesian/exp1.csv,True,True
zhu2020bayesian/exp2.csv,True,True
zorowitz2023data/exp1.csv,True,False
