paper_task,ours_llama,ours_minitaur,off_cent8,off_cent70,off_base8,off_base70,off_cog
badham2017deficits,0.6042,0.5982,0.5422,0.5327,0.6045,0.5756,0.6401
bahrami2020four,0.9115,0.8976,0.7144,0.7075,0.9115,0.8842,0.9393
enkavi2019adaptivenback,0.5649,0.5539,0.4239,0.3963,0.5653,0.521,0.5787
enkavi2019digitspan,0.7628,0.749,0.5837,0.5622,0.7627,0.6735,0.9359
enkavi2019gonogo,0.0036,0.0029,0.0,0.0,0.0036,0.0062,0.0757
enkavi2019recentprobes,0.3832,0.3524,0.2613,0.2583,0.3858,0.3448,0.3868
feng2021dynamics,0.3648,0.3575,0.2221,0.2126,0.3649,0.4228,0.5512
flesch2018comparing,0.4777,0.4642,0.3866,0.3783,0.4771,0.504,0.5885
frey2017cct,0.2544,0.2512,0.2046,0.2036,0.2542,0.2454,0.2621
frey2017risk,0.0822,0.0812,0.07,0.066,0.0823,0.0826,0.0922
gershman2018deconstructing,0.4015,0.398,0.3077,0.2963,0.401,0.3829,0.4084
gershman2020reward,0.7028,0.6909,0.5355,0.5135,0.7036,0.6123,0.7564
hebart2023things,1.1621,1.1476,0.8106,0.7852,1.1615,1.1657,0.8343
hilbig2014generalized,0.2546,0.2422,0.092,0.0619,0.254,0.1502,0.1922
kool2016when,0.6212,0.6125,0.4933,0.4768,0.6206,0.6108,0.5914
kool2017cost,0.6221,0.6171,0.532,0.5249,0.6215,0.6262,0.6433
lefebvre2017behavioural,0.5748,0.5673,0.4903,0.4937,0.5758,0.5382,0.4989
levering2020revisiting,0.5766,0.568,0.5028,0.4967,0.5763,0.5772,0.5335
ludwig2023human,0.6036,0.5994,0.5161,0.485,0.6018,0.6026,0.6061
peterson2021using,0.5504,0.5347,0.4365,0.4318,0.5497,0.5493,0.6564
plonsky2018when,0.3876,0.3852,0.3456,0.339,0.387,0.4118,0.6609
ruggeri2022globalizability,0.7617,0.7123,0.4421,0.4383,0.759,0.7386,0.659
sadeghiyeh2020temporal,0.6616,0.6571,0.5915,0.5787,0.6612,0.6496,0.6817
schulz2020finding,0.8562,0.8442,0.6559,0.641,0.8567,0.8114,1.0114
somerville2017charting,0.495,0.4854,0.346,0.3382,0.4953,0.499,0.586
speekenbrink2008learning,0.5833,0.5792,0.5531,0.5514,0.5806,0.5749,0.6267
steingroever2015data,1.0382,1.0247,0.91,0.9012,1.0376,1.0007,1.1787
tomov2020discovery,1.5495,1.5353,1.1501,1.1237,1.5498,1.554,
tomov2021multitask,0.6742,0.6642,0.5796,0.5672,0.6725,0.6604,1.0299
waltz2020differential,0.311,0.3011,0.1497,0.1451,0.3123,0.2541,0.5184
wilson2014humans,0.5464,0.5415,0.4603,0.4488,0.5464,0.5514,0.6396
wu2023chunking,0.1982,0.1971,0.1762,0.1718,0.1985,0.19,0.1962
wulff2018description,0.9467,0.838,0.608,0.5907,0.9424,0.9133,0.6111
wulff2018sampling,0.6665,0.6231,0.4726,0.4688,0.6656,0.6497,0.5452
xiong2023neural,0.3685,0.3658,0.3212,0.3025,0.3686,0.3824,0.4378
zorowitz2023data,0.583,0.5774,0.5103,0.5131,0.5837,0.5773,
