experiment,llama_e0,minitaur_e0,uniform,base_rate,sticky,bigram,llama_e1_drop,minitaur_e1_drop,minitaur_e3_gap_w0,llama_e3_gap_w0,minitaur_e3_gap_w1,llama_e3_gap_w1,minitaur_e3_gap_w20,llama_e3_gap_w20
badham2017deficits/exp1.csv,0.6042,0.5982,0.6931,0.6999,0.6949,0.6999,0.1984,0.1773,1.014,1.4338,0.0711,0.0665,-0.0149,-0.0159
bahrami2020four/exp.csv,0.9115,0.8976,1.3863,1.2402,1.0089,0.978,0.801,0.7478,2.0145,2.5994,0.4845,0.4933,0.019,0.0202
collsiöö2023MCPL/exp1.csv,1.2453,1.2192,2.1854,1.9503,2.1656,2.0575,1.4072,1.3997,1.6671,1.8081,0.5094,0.4969,0.3493,0.3408
collsiöö2023MCPL/exp2.csv,1.2007,1.1769,2.1553,1.9111,2.1502,2.007,1.5385,1.5323,0.773,0.8646,0.2391,0.2305,0.2162,0.2076
collsiöö2023MCPL/exp3.csv,1.6043,1.593,2.0698,1.8198,2.0295,1.8594,1.0149,1.0068,1.5891,1.8018,0.1528,0.1553,0.017,0.0077
cox2017information/exp1.csv,1.378,1.3613,3.6911,2.181,2.7816,1.9341,0.2337,0.201,2.0223,2.1711,0.8014,0.801,0.0094,0.0086
enkavi2019adaptivenback/exp1.csv,0.5649,0.5539,0.6931,0.6148,0.6784,0.6166,0.1403,0.1364,0.7524,0.9836,0.2328,0.2326,0.0355,0.0305
enkavi2019digitspan/exp1.csv,0.7628,0.749,2.3026,2.3499,2.244,2.2364,-0.6738,-0.6956,2.3278,2.6448,1.7405,1.7756,0.0724,0.0825
enkavi2019gonogo/exp1.csv,0.0036,0.0029,0.0,0.0,0.0,0.0,0.0308,0.0236,0.6285,0.8157,0.0206,0.0245,0.0055,0.0068
enkavi2019recentprobes/exp1.csv,0.3832,0.3524,0.6931,0.7194,0.7171,0.7338,0.2768,0.2107,0.7454,1.0484,0.19,0.202,0.0062,0.0068
feng2021dynamics/exp1.csv,0.3648,0.3575,0.6931,0.6888,0.5605,0.5613,0.2368,0.2366,1.5796,2.002,0.291,0.3015,0.1984,0.1813
flesch2018comparing/exp1.csv,0.4777,0.4642,0.6931,0.6777,0.6848,0.6745,0.2944,0.2957,0.5553,0.8268,0.3029,0.308,0.05,0.0438
frey2017cct/exp1.csv,0.2544,0.2512,0.6931,0.2927,0.4141,0.2933,0.06,0.051,0.805,1.1047,0.0986,0.0856,0.0561,0.0532
frey2017risk/exp1.csv,0.0822,0.0812,0.6931,0.0998,0.1662,0.1018,0.0475,0.0427,0.0981,0.1136,0.0127,0.0129,0.0,-0.0001
