experiment,paper_token_nll,macro_choice_nll,choices,choice_tokens,participants
badham2017deficits/exp1.csv,0.5484015787966263,0.5422086174935685,3664,3664,10
bahrami2020four/exp.csv,0.70876583590665,0.7142179594125015,13864,13864,96
collsiöö2023MCPL/exp1.csv,0.8061734532149879,1.0483134082699181,2800,3641,10
collsiöö2023MCPL/exp2.csv,0.5984655048238492,0.9981549669740627,1680,2802,6
collsiöö2023MCPL/exp3.csv,1.1128474292289317,1.4737164325477334,1656,2193,12
cox2017information/exp1.csv,0.6870304141569198,1.1302263137102426,9586,15891,38
enkavi2019adaptivenback/exp1.csv,0.4237046900404689,0.4239204110333201,22423,22423,52
enkavi2019digitspan/exp1.csv,0.5741683970400533,0.5842293600448746,10328,10328,50
enkavi2019gonogo/exp1.csv,2.222533472139157e-05,2.225261198288058e-05,19230,19230,59
enkavi2019recentprobes/exp1.csv,0.2602880793005706,0.2614116307491403,3774,3774,51
feng2021dynamics/exp1.csv,0.22172217911413875,0.22172217911413875,3360,3360,3
flesch2018comparing/exp1.csv,0.3861613033105294,0.38616130331052934,13200,13200,22
frey2017cct/exp1.csv,0.1881609675254881,0.20463339923316276,62530,62530,138
frey2017risk/exp1.csv,0.06312703870604089,0.07005559578405533,192724,192724,176
garcia2023experiential/exp1.csv,0.5227041692713383,0.5614229966247708,2592,2784,12
garcia2023experiential/exp2.csv,0.4318615123101493,0.46385125396275295,2160,2320,10
garcia2023experiential/exp3.csv,0.39769457112410167,0.42715342824440555,2592,2784,12
garcia2023experiential/exp4.csv,0.361833488856564,0.3790636549925908,1848,1936,11
gershman2018deconstructing/exp1.csv,0.352248488039826,0.35224848803982606,1000,1000,5
gershman2018deconstructing/exp2.csv,0.24976205416822264,0.24976205416822264,800,800,4
gershman2020reward/exp1.csv,0.5598707481834726,0.5356086544128764,6137,6137,11
hebart2023things/exp1.csv,0.8205749790882293,0.8106379989121983,265640,265640,1218
hilbig2014generalized/exp1.csv,0.09113656200582904,0.09113656200582905,576,576,6
jansen2021dunningkruger/exp1.csv,1.4515660082482087,1.4515660082482087,9044,9044,323
kool2016when/exp1.csv,0.4739758157255271,0.4788270956146271,2407,2407,20
kool2016when/exp2.csv,0.5068626378241431,0.5101832193069807,4187,4187,18
kool2017cost/exp1.csv,0.5862353500575103,0.5878955988820055,1757,1757,9
kool2017cost/exp2.csv,0.4897258995217542,0.5020797951666806,4726,4726,13
krueger2022identifying/exp1.csv,0.4101797877479498,0.5593103426156812,60176,67252,203
kumar2023disentangling/exp1.csv,0.3076730139504279,1.6945158171485537,42314,253884,92
lefebvre2017behavioural/exp1.csv,0.5002749394863915,0.5002749394863915,576,576,6
lefebvre2017behavioural/exp2.csv,0.46692964273461257,0.46692964273461257,192,192,2
