paper_task,official_eval_loss,token_micro_nll,n_sessions,choices,target_tokens
badham2017deficits,0.5422086174935685,0.5484015787966263,10,3664,3664
bahrami2020four,0.7142179594125015,0.70876583590665,96,13864,13864
enkavi2019adaptivenback,0.4239204110333201,0.4237046900404689,52,22423,22423
enkavi2019digitspan,0.5842293600448746,0.5741683970400533,50,10328,10328
enkavi2019gonogo,2.225261198288058e-05,2.222533472139157e-05,59,19230,19230
enkavi2019recentprobes,0.2614116307491403,0.2602880793005706,51,3774,3774
feng2021dynamics,0.22172217911413875,0.22172217911413872,3,3360,3360
flesch2018comparing,0.38616130331052934,0.3861613033105294,22,13200,13200
frey2017cct,0.20463339923316276,0.1881609675254881,138,62530,62530
frey2017risk,0.07005559578405533,0.06312703870604089,176,192724,192724
gershman2018deconstructing,0.30669896187466894,0.306698961874669,9,1800,1800
gershman2020reward,0.5356086544128764,0.5598707481834726,11,6137,6137
hebart2023things,0.8105085112512206,0.8179565979978071,1218,242647,242647
hilbig2014generalized,0.09113656200582905,0.09113656200582905,6,576,576
kool2016when,0.4936799963110052,0.49485800015484244,38,6594,6594
kool2017cost,0.5326544178452866,0.5158815534769174,21,6483,6483
lefebvre2017behavioural,0.49193861529844674,0.4919386152984468,8,768,768
levering2020revisiting,0.502776366766759,0.502776366766759,42,6972,6972
ludwig2023human,0.5162236535486059,0.5162236535486059,7,2520,2520
peterson2021using,0.43638044021102873,0.43221287696821237,1465,116920,116920
plonsky2018when,0.3456934443700015,0.3456934443700015,24,18000,18000
ruggeri2022globalizability,0.4420982779146861,0.438540670391121,1295,15421,15421
sadeghiyeh2020temporal,0.592178873109789,0.6028857441148724,13,4303,4303
schulz2020finding,0.6557840714617681,0.6557840714617681,70,21000,21000
somerville2017charting,0.346085022869753,0.346085022869753,14,7840,7840
speekenbrink2008learning,0.552764226719737,0.552764226719737,2,400,400
steingroever2015data,0.9098057962915128,0.8974279422919188,66,7090,7090
tomov2020discovery,1.1503937803841617,1.1512205538736815,89,24577,24577
tomov2021multitask,0.5800935199638239,0.5800935199638237,39,7878,7878
waltz2020differential,0.15007581157753624,0.15007581157753624,2,850,850
wilson2014humans,0.4602109069594145,0.4457346704672518,28,17715,17715
wu2023chunking,0.17643559493908828,0.17643559493908828,20,20000,20000
wulff2018description,0.6075155980033781,0.5449666254720068,227,3200,3200
wulff2018sampling,0.4730839570129773,0.37538170214853545,411,108245,108245
xiong2023neural,0.32100872343456,0.32100872343456,3,8871,8871
zorowitz2023data,0.5117699406485638,0.5117699406485638,10,4020,4020
