experiment,paper_token_nll,macro_choice_nll,choices,choice_tokens,participants
badham2017deficits/exp1.csv,0.6098088299344351,0.604211811297181,3664,3664,10
bahrami2020four/exp.csv,0.907227792846673,0.9115046002027096,13864,13864,96
collsiöö2023MCPL/exp1.csv,0.9576509997294597,1.2452883178624867,2800,3641,10
collsiöö2023MCPL/exp2.csv,0.7199132610147557,1.200712474621039,1680,2802,6
collsiöö2023MCPL/exp3.csv,1.2114296434429987,1.6042664299942608,1656,2193,12
cox2017information/exp1.csv,0.8365786973560677,1.3779607449422522,9586,15891,38
enkavi2019adaptivenback/exp1.csv,0.5648960747510798,0.5649055664915553,22423,22423,52
enkavi2019digitspan/exp1.csv,0.7505735362142951,0.7627534468847553,10328,10328,50
enkavi2019gonogo/exp1.csv,0.0036348260907098687,0.003634649057752498,19230,19230,59
enkavi2019recentprobes/exp1.csv,0.3821811380948178,0.3832187471725876,3774,3774,51
feng2021dynamics/exp1.csv,0.36475008718461294,0.36475008718461294,3360,3360,3
flesch2018comparing/exp1.csv,0.4777285709249422,0.47772857092494214,13200,13200,22
frey2017cct/exp1.csv,0.2339110204870438,0.25435280551133344,62530,62530,138
frey2017risk/exp1.csv,0.07468774100055256,0.08222532505623838,192724,192724,176
garcia2023experiential/exp1.csv,0.7087701473193482,0.761271639713374,2592,2784,12
garcia2023experiential/exp2.csv,0.6115145365100453,0.6568119095848635,2160,2320,10
garcia2023experiential/exp3.csv,0.5993984434299007,0.6437983281284119,2592,2784,12
garcia2023experiential/exp4.csv,0.5481965975439024,0.5743011974269453,1848,1936,11
gershman2018deconstructing/exp1.csv,0.4225127065760316,0.42251270657603157,1000,1000,5
gershman2018deconstructing/exp2.csv,0.37516591282932493,0.37516591282932493,800,800,4
gershman2020reward/exp1.csv,0.7234156997696102,0.7027906449056018,6137,6137,11
hebart2023things/exp1.csv,1.1248034343141755,1.1620054390754857,265640,265640,1218
hilbig2014generalized/exp1.csv,0.2546270089172,0.2546270089172001,576,576,6
jansen2021dunningkruger/exp1.csv,2.146727196550895,2.146727196550895,9044,9044,323
kool2016when/exp1.csv,0.65021166513087,0.6519499774957096,2407,2407,20
kool2016when/exp2.csv,0.5876853311461316,0.5869780677921158,4187,4187,18
kool2017cost/exp1.csv,0.6792224296620439,0.6791497530732984,1757,1757,9
kool2017cost/exp2.csv,0.5783047903791876,0.6037321668225689,4726,4726,13
krueger2022identifying/exp1.csv,0.6856306864054417,0.9395281590784577,60176,67252,203
kumar2023disentangling/exp1.csv,0.4736857996701042,2.8190637853609566,42314,253884,92
lefebvre2017behavioural/exp1.csv,0.6024017448330091,0.6024017448330091,576,576,6
lefebvre2017behavioural/exp2.csv,0.491863674436748,0.49186367443674806,192,192,2
levering2020revisiting/exp1.csv,0.6001324751535625,0.6001324751535625,2988,2988,18
levering2020revisiting/exp2.csv,0.5589866168847254,0.5589866168847254,3984,3984,24
ludwig2023human/exp0.csv,0.6424755428178253,0.6424755428178254,1080,1080,3
ludwig2023human/exp1.csv,0.5894945222179457,0.5894945222179457,720,720,2
ludwig2023human/exp2.csv,0.5593419078582277,0.5593419078582278,720,720,2
peterson2021using/exp1.csv,0.5355826353979078,0.5503837885102754,116920,116920,1466
plonsky2018when/exp1.csv,0.3875927613472503,0.3875927613472503,18000,18000,24
popov2023intent/exp1.csv,1.1136456099217313,1.635475720841541,417,607,3
popov2023intent/exp2.csv,0.8150778459657442,1.2546999673435166,557,860,4
popov2023intent/exp3.csv,0.8880255989753933,1.466238655281294,918,1515,6
ruggeri2022globalizability/exp1.csv,0.7555125568033954,0.7617237746821549,15421,15421,1295
sadeghiyeh2020temporal/exp1.csv,0.660822333266637,0.6616061038245795,4303,4303,13
schulz2020finding/exp1.csv,0.7471281366878489,0.747128136687849,2700,2700,9
schulz2020finding/exp2.csv,0.6955401449083892,0.6955401449083892,3000,3000,10
schulz2020finding/exp3.csv,0.8735032653335567,0.8735032653335567,5700,5700,19
schulz2020finding/exp4.csv,0.9253508945092195,0.9253508945092195,4200,4200,14
schulz2020finding/exp5.csv,0.9280248902872377,0.9280248902872376,5400,5400,18
