experiment,participant,chars,error
badham2017deficits/exp1.csv,3,29167,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 58.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,7,29167,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 58.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,16,29167,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 58.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,21,29167,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 58.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,41,29167,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 58.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,45,29167,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 58.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,49,22063,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 44.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,58,25615,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 51.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,74,26799,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 53.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
badham2017deficits/exp1.csv,85,29167,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 58.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,37,5729,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
