paper_task,official_eval_loss,token_micro_nll,n_sessions,choices,target_tokens
badham2017deficits,0.5982422311697282,0.6041257767011544,10,3664,3664
bahrami2020four,0.8976318849271836,0.8936624866625118,96,13864,13864
enkavi2019adaptivenback,0.5538943513328063,0.5538858511284003,52,22423,22423
enkavi2019digitspan,0.749029833106725,0.7369770505717739,50,10328,10328
enkavi2019gonogo,0.0028571776658211055,0.00285750703258767,59,19230,19230
enkavi2019recentprobes,0.3524130709934695,0.35132419562685857,51,3774,3774
feng2021dynamics,0.35749608490273416,0.3574960849027342,3,3360,3360
flesch2018comparing,0.4641514888525743,0.4641514888525743,22,13200,13200
frey2017cct,0.25122061569073983,0.2309832643023398,138,62530,62530
frey2017risk,0.0812295042237131,0.07377836146350146,176,192724,192724
gershman2018deconstructing,0.3979800837269027,0.3979800837269027,9,1800,1800
gershman2020reward,0.690881367351844,0.7120898190371115,11,6137,6137
hebart2023things,1.1476247957959318,1.122760858617659,1218,242647,242647
hilbig2014generalized,0.24215370618961804,0.24215370618961807,6,576,576
kool2016when,0.61249665349147,0.6023125304380476,38,6594,6594
kool2017cost,0.6170674885334889,0.600203254895837,21,6483,6483
lefebvre2017behavioural,0.5672548581899264,0.5672548581899264,8,768,768
levering2020revisiting,0.5679669030961016,0.5679669030961016,42,6972,6972
ludwig2023human,0.5993776278545349,0.5993776278545349,7,2520,2520
peterson2021using,0.5347316988602346,0.5233665853140134,1465,116920,116920
plonsky2018when,0.3852425052509538,0.3852425052509539,24,18000,18000
ruggeri2022globalizability,0.7122506095370273,0.706615354540829,1295,15421,15421
sadeghiyeh2020temporal,0.6570661520727687,0.6575051254403238,13,4303,4303
schulz2020finding,0.8442482943859364,0.8442482943859364,70,21000,21000
somerville2017charting,0.4854171827706555,0.48541718277065554,14,7840,7840
speekenbrink2008learning,0.5792484803893603,0.5792484803893604,2,400,400
steingroever2015data,1.0246989163825808,1.0106806790509868,66,7090,7090
tomov2020discovery,1.5352848498934948,1.5205963164617546,89,24577,24577
tomov2021multitask,0.6642183240768909,0.664218324076891,39,7878,7878
waltz2020differential,0.30105244620965094,0.30105244620965094,2,850,850
wilson2014humans,0.5415256920396686,0.5349165660233355,28,17715,17715
wu2023chunking,0.19713849791282462,0.1971384979128246,20,20000,20000
wulff2018description,0.8379950490475522,0.7316128192663018,227,3200,3200
wulff2018sampling,0.6230936818648125,0.42874250128830504,411,108245,108245
xiong2023neural,0.36583115710165104,0.3658311571016511,3,8871,8871
zorowitz2023data,0.5773783442323877,0.5773783442323877,10,4020,4020
