experiment,participant,chars,error
collsiöö2023MCPL/exp2.csv,72,42974,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 94.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp2.csv,74,42244,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 93.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,4,24674,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,11,24779,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,31,24539,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,35,24629,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,39,24723,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,43,24554,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,66,21093,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 51.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,68,21063,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 51.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,70,21078,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 51.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,72,21398,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 51.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,73,21048,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 51.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
collsiöö2023MCPL/exp3.csv,96,21048,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 51.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,2,20125,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,10,16506,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 40.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,42,15855,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 39.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,57,20133,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,69,20142,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,75,20256,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,92,16334,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 40.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,103,20213,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,105,20521,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 50.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,108,20012,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,130,12519,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 30.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,135,19931,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,140,20010,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,153,20120,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,159,20192,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,180,20343,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,190,17907,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 43.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,194,20544,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 50.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,211,20783,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 50.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
